id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source,is_ppi,curator,reactome_complex,reactome_reaction,reactome_pathway,complexPortal_complex,comments,version
,Q96A83,integrin_a2b1_complex,COQA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q8IZC6,integrin_a10b1_complex,CORA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q8IZC6,integrin_a11b1_complex,CORA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q8IZC6,integrin_a1b1_complex,CORA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q8IZC6,integrin_a2b1_complex,CORA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O00230,P30872,CORT_HUMAN,SSR1_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-374758,,,,CellPhoneDBcore<=4.1
,O00230,P30874,CORT_HUMAN,SSR2_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-374758,,,,CellPhoneDBcore<=4.1
,O00230,P32745,CORT_HUMAN,SSR3_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-374758,,,,CellPhoneDBcore<=4.1
,O00230,P31391,CORT_HUMAN,SSR4_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-374758,,,,CellPhoneDBcore<=4.1
,O00230,P35346,CORT_HUMAN,SSR5_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-374758,,,,CellPhoneDBcore<=4.1
,Corticosterone_byCYP11B1,P04150,,GCR_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Corticosterone_byCYP11B1,P08235,,MCR_HUMAN,curated,uniprot;PMID:3037703,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Q2UY09,integrin_a10b1_complex,COSA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q2UY09,integrin_a11b1_complex,COSA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q2UY09,integrin_a1b1_complex,COSA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q2UY09,integrin_a2b1_complex,COSA1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P06850,P34998,CRF_HUMAN,CRFR1_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-420173,,,,CellPhoneDBcore<=4.1
,P06850,Q13324,CRF_HUMAN,CRFR2_HUMAN,curated,uniprot;HMRbase;reactome,True,LGarciaAlonso,,R-HSA-420173,,,,CellPhoneDBcore<=4.1
,Q9HC73,TSLPR,CRLF2_HUMAN,,curated,DOI_10.1038ncomms14937,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O95727,Q9BY67,CRTAM_HUMAN,CADM1_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P09603,P07333,CSF1_HUMAN,CSF1R_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P04141,GMCSFR,CSF2_HUMAN,,curated,PDB:4nkq,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P09919,Q99062,CSF3_HUMAN,CSF3R_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q6UVK1,integrin_a3b1_complex,CSPG4_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P19875,P25025,CXCL2_HUMAN,CXCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P19875,P27487,CXCL2_HUMAN,DPP4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P19876,P25025,CXCL3_HUMAN,CXCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P42830,P25024,CXCL5_HUMAN,CXCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P42830,P25025,CXCL5_HUMAN,CXCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P80162,P25024,CXCL6_HUMAN,CXCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P80162,P25025,CXCL6_HUMAN,CXCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P02775,P25024,CXCL7_HUMAN,CXCR1_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P02775,P25025,CXCL7_HUMAN,CXCR2_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q07325,P49682,CXCL9_HUMAN,CXCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q07325,P27487,CXCL9_HUMAN,DPP4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P02778,P49682,CXL10_HUMAN,CXCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P02778,P27487,CXL10_HUMAN,DPP4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O14625,P25106,CXL11_HUMAN,ACKR3_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O14625,P49682,CXL11_HUMAN,CXCR3_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O14625,P27487,CXL11_HUMAN,DPP4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43927,Q9NPB9,CXL13_HUMAN,ACKR4_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43927,P32302,CXL13_HUMAN,CXCR5_HUMAN,curated,PMID:24218476,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O95715,P61073,CXL14_HUMAN,CXCR4_HUMAN,curated,PMID:32212206,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Q9H2A7,O00574,CXL16_HUMAN,CXCR6_HUMAN,curated,uniprot,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P08174,P48960,DAF_HUMAN,CD97_HUMAN,curated,PMID:11297558,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Dehydroepiandrosterone_bySTS,P03372,,ESR1_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Dehydroepiandrosterone_bySTS,O75469,,NR1I2_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Dehydroepiandrosterone_bySTS,Q07869,,PPARA_HUMAN,curated,HMRbase;PMID:18079279,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Desmosterol_byDHCR7,P55055,,NR1H2_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Desmosterol_byDHCR7,Q13133,,NR1H3_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Desoxycorticosterone_byCYP21A2,P08235,,MCR_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT1E1,Q07869,,PPARA_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT1E1,Q03181,,PPARD_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT1E1,P37231,,PPARG_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT2A1,Q07869,,PPARA_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT2A1,Q03181,,PPARD_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT2A1,P37231,,PPARG_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT2B,Q07869,,PPARA_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT2B,Q03181,,PPARD_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,DHEAsulfate_bySULT2B,P37231,,PPARG_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O43323,Q96QV1,DHH_HUMAN,HHIP_HUMAN,curated,reactome;PMID:10050855;PMID:19561611,True,LGarciaAlonso,,R-HSA-445448,,,,CellPhoneDBcore<=4.1
,O43323,PTCH_BOC_transmembrane_receptor,DHH_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-5632653,,,,CellPhoneDBcore<=4.1
,O43323,PTCH_CDON_transmembrane_receptor,DHH_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-5632653,,,,CellPhoneDBcore<=4.1
,O43323,PTCH_GAS1_transmembrane_receptor,DHH_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-5632653,,,,CellPhoneDBcore<=4.1
,Dihydrotestosterone_bySRD5A1,P10275,,ANDR_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Dihydrotestosterone_bySRD5A2,P10275,,ANDR_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Dihydrotestosterone_bySRD5A3,P10275,,ANDR_HUMAN,curated,HMRbase;uniprot,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,O94907,Kremen1_LRP6,DKK1_HUMAN,,curated,reactome;PMID:27524201;PDB:5FWW,True,LGarciaAlonso,,R-HSA-3769401,,,,CellPhoneDBcore<=4.1
,O94907,Kremen2_LRP6,DKK1_HUMAN,,curated,reactome,True,LGarciaAlonso,,R-HSA-3769401,,,,CellPhoneDBcore<=4.1
,O94907,O75197,DKK1_HUMAN,LRP5_HUMAN,curated,PMID:12775774,True,RVentoTormo,,,,,Inhibition WNT. It requires the co_receptor KREMEN1 & KREMEN2. Soluble proteins,CellPhoneDBcore<=4.1
,O94907,O75581,DKK1_HUMAN,LRP6_HUMAN,curated,PMID:12775774,True,RVentoTormo,,,,,Inhibition WNT. It requires the co_receptor KREMEN1 & KREMEN2. Soluble proteins,CellPhoneDBcore<=4.1
,Q9UBU2,Kremen2_LRP6,DKK2_HUMAN,,curated,reactome;PMID:12527209,True,LGarciaAlonso,,R-HSA-3769401,,,,CellPhoneDBcore<=4.1
,Q9UBU2,O75581,DKK2_HUMAN,LRP6_HUMAN,curated,uniprot;PMID:30035713,True,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P80370,Q04721,DLK1_HUMAN,NOTC2_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P80370,Q9UM47,DLK1_HUMAN,NOTC3_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P80370,Q99466,DLK1_HUMAN,NOTC4_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P80370,P46531,DLK1_HUMAN,NOTC1_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O00548,P46531,DLL1_HUMAN,NOTC1_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O00548,Q04721,DLL1_HUMAN,NOTC2_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O00548,Q9UM47,DLL1_HUMAN,NOTC3_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O00548,Q99466,DLL1_HUMAN,NOTC4_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NYJ7,Q9UM47,DLL3_HUMAN,NOTC3_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NYJ7,P46531,DLL3_HUMAN,NOTC1_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NYJ7,Q04721,DLL3_HUMAN,NOTC2_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NYJ7,Q99466,DLL3_HUMAN,NOTC4_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NR61,Q9UM47,DLL4_HUMAN,NOTC3_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NR61,P46531,DLL4_HUMAN,NOTC1_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NR61,Q04721,DLL4_HUMAN,NOTC2_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q9NR61,Q99466,DLL4_HUMAN,NOTC4_HUMAN,curated,PMID:22353464,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q08554,Q14126,DSC1_HUMAN,DSG2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q02487,Q14126,DSC2_HUMAN,DSG2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q02413,Q08554,DSG1_HUMAN,DSC1_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q02413,Q02487,DSG1_HUMAN,DSC2_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q02413,Q14574,DSG1_HUMAN,DSC3_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q14126,Q14574,DSG2_HUMAN,DSC3_HUMAN,curated,PMID:27298358,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,P21709,EFNA1_HUMAN,EPHA1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,P29317,EFNA1_HUMAN,EPHA2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,P29320,EFNA1_HUMAN,EPHA3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,P54764,EFNA1_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,P54756,EFNA1_HUMAN,EPHA5_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,Q15375,EFNA1_HUMAN,EPHA7_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P20827,P29322,EFNA1_HUMAN,EPHA8_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,P21709,EFNA2_HUMAN,EPHA1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,P29317,EFNA2_HUMAN,EPHA2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,P29320,EFNA2_HUMAN,EPHA3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,P54764,EFNA2_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,P54756,EFNA2_HUMAN,EPHA5_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,Q15375,EFNA2_HUMAN,EPHA7_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O43921,P29322,EFNA2_HUMAN,EPHA8_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,P54764,EFNA3_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,P54756,EFNA3_HUMAN,EPHA5_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,Q15375,EFNA3_HUMAN,EPHA7_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,P21709,EFNA3_HUMAN,EPHA1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,P29317,EFNA3_HUMAN,EPHA2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,P29320,EFNA3_HUMAN,EPHA3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52797,P29322,EFNA3_HUMAN,EPHA8_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,P54764,EFNA4_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,P54756,EFNA4_HUMAN,EPHA5_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,Q15375,EFNA4_HUMAN,EPHA7_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,P21709,EFNA4_HUMAN,EPHA1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,P29317,EFNA4_HUMAN,EPHA2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,P29320,EFNA4_HUMAN,EPHA3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52798,P29322,EFNA4_HUMAN,EPHA8_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P54764,EFNA5_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P54756,EFNA5_HUMAN,EPHA5_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,Q15375,EFNA5_HUMAN,EPHA7_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P21709,EFNA5_HUMAN,EPHA1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P29317,EFNA5_HUMAN,EPHA2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P29320,EFNA5_HUMAN,EPHA3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P29322,EFNA5_HUMAN,EPHA8_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52803,P29323,EFNA5_HUMAN,EPHB2_HUMAN,curated,PMID:15107857;PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P98172,P54764,EFNB1_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P98172,P54762,EFNB1_HUMAN,EPHB1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P98172,P29323,EFNB1_HUMAN,EPHB2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P98172,P54753,EFNB1_HUMAN,EPHB3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P98172,P54760,EFNB1_HUMAN,EPHB4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P98172,O15197,EFNB1_HUMAN,EPHB6_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52799,P54764,EFNB2_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52799,P54762,EFNB2_HUMAN,EPHB1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52799,P54753,EFNB2_HUMAN,EPHB3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52799,P54760,EFNB2_HUMAN,EPHB4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52799,P29323,EFNB2_HUMAN,EPHB2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P52799,O15197,EFNB2_HUMAN,EPHB6_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15768,P54764,EFNB3_HUMAN,EPHA4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15768,P54762,EFNB3_HUMAN,EPHB1_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15768,P29323,EFNB3_HUMAN,EPHB2_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15768,P54753,EFNB3_HUMAN,EPHB3_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15768,P54760,EFNB3_HUMAN,EPHB4_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q15768,O15197,EFNB3_HUMAN,EPHB6_HUMAN,curated,PMID:15114347,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P01133,P00533,EGF_HUMAN,EGFR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P0DMC3,P35414,ELA_HUMAN,APJ_HUMAN,curated,uniprot,True,LGarciaAlonso,R-HSA-374316,,,,,CellPhoneDBcore<=4.1
,Q6UW88,P00533,EPGN_HUMAN,EGFR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P35348,,ADA1A_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390641,,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P35368,,ADA1B_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390641,,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P25100,,ADA1D_HUMAN,curated,reactome,False,LGarciaAlonso,,R-HSA-390641,,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P08913,,ADA2A_HUMAN,curated,reactome,False,LGarciaAlonso,R-HSA-390700,R-HSA-390663,R-HSA-390696,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P18089,,ADA2B_HUMAN,curated,reactome,False,LGarciaAlonso,R-HSA-390700,R-HSA-390663,R-HSA-390696,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P18825,,ADA2C_HUMAN,curated,reactome,False,LGarciaAlonso,R-HSA-390700,R-HSA-390663,R-HSA-390696,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P08588,,ADRB1_HUMAN,curated,HMRbase;reactome,False,LGarciaAlonso,R-HSA-390643,R-HSA-390674,R-HSA-390696,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P07550,,ADRB2_HUMAN,curated,reactome,False,LGarciaAlonso,R-HSA-8852028,R-HSA-9611851,R-HSA-390696,,,CellPhoneDBcore<=4.1
,Epinephrine_byPNMT,P13945,,ADRB3_HUMAN,curated,reactome,False,LGarciaAlonso,R-HSA-9611853,R-HSA-9611852,R-HSA-390696,,,CellPhoneDBcore<=4.1
,P01588,P19235,EPO_HUMAN,EPOR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O14944,P00533,EREG_HUMAN,EGFR_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,O14944,Q15303,EREG_HUMAN,ERBB4_HUMAN,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Q96AP7,Q96AP7,ESAM_HUMAN,ESAM_HUMAN,curated,PMID:11279107,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,Estradiol_byCYP19A1,P03372,,ESR1_HUMAN,curated,HMRbase;reactome,False,LGarciaAlonso,R-HSA-9008284,,,,,CellPhoneDBcore<=4.1
,Estradiol_byCYP19A1,Q92731,,ESR2_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Estradiol_byCYP19A1,Q99527,,GPER1_HUMAN,curated,reactome;uniprot,False,LGarciaAlonso,,R-HSA-374207,,,,CellPhoneDBcore<=4.1
,Estradiol_byCYP19A1,O75469,,NR1I2_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Estradiol_byHSD17B1,P03372,,ESR1_HUMAN,curated,HMRbase;reactome,False,LGarciaAlonso,R-HSA-9008284,,,,,CellPhoneDBcore<=4.1
,Estradiol_byHSD17B1,Q92731,,ESR2_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,Estradiol_byHSD17B1,Q99527,,GPER1_HUMAN,curated,reactome;uniprot,False,LGarciaAlonso,,R-HSA-374207,,,,CellPhoneDBcore<=4.1
,Estradiol_byHSD17B1,O75469,,NR1I2_HUMAN,curated,HMRbase,False,LGarciaAlonso,,,,,,CellPhoneDBcore<=4.1
,P00742,integrin_aMb2_complex,FA10_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P35555,integrin_a5b1_complex,FBN1_HUMAN,,curated,uniprot,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P06734,P20023,FCER2_HUMAN,CR2_HUMAN,curated,PMID:16785534;PMC2212946,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P06734,integrin_aMb2_complex,FCER2_HUMAN,,curated,PMID:7621072;PMID:8745401,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P06734,integrin_aVb3_complex,FCER2_HUMAN,,curated,PMID:10037797,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
,P06734,integrin_aXb2_complex,FCER2_HUMAN,,curated,PMID:7621072,True,RVentoTormo,,,,,,CellPhoneDBcore<=4.1
